step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,front,best_i,best_distance,anglePlan,severity,emergency_front_brake,stuck_counter,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
99955,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9183.03,1,0.45,0.0,-0.13081197756329319,175,SHALLOW,62.0267,4,90.9268,-4,0.38260171114337566,0.0,46,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99954,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9293.92,1,0.45,0.0,-0.13081453264239748,175,SHALLOW,62.0267,4,90.9268,-4,0.38260171114337566,0.0,47,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99953,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9405.86,1,0.45,0.0,-0.130816627807263,175,SHALLOW,62.0267,4,90.9268,-4,0.38260171114337566,0.0,48,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99952,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9518.43,1,0.45,0.0,-0.13081834584245272,175,SHALLOW,62.0267,4,90.9268,-4,0.38260171114337566,0.0,49,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99951,-0.0171992,0.0142484,0.00248804,0.00871485,0.33345,0.0,9742.55,1,0.45,0.0,-0.13031308198877764,175,SHALLOW,61.8894,4,90.6279,-4,0.3833864945916515,0.0,50,5.70581,12.6459,22.5469,139.768,90.6279,77.1414,71.4874,67.1892,64.4279,61.8894,59.5475,57.3807,54.6057,51.7549,47.1633,40.0059,31.0009,22.7403,11.2174
99950,0.0480508,-0.00344809,0.00295359,0.00860709,0.333452,0.0,5249.36,1,0.45,0.0,-0.13001005230637,175,SHALLOW,61.9189,4,90.6926,-4,0.3832173028675136,0.0,51,5.70516,12.6416,22.5267,139.925,90.6926,77.1882,71.5274,67.2243,64.46,61.9189,59.5748,57.4061,54.6287,51.7755,47.1802,40.0187,31.01,22.7459,11.2186
99949,0.114625,-0.00183465,0.00297467,0.0085861,0.333449,0.0,5264.23,1,0.45,0.0,-0.12978298865821136,175,SHALLOW,61.9242,4,90.7044,-4,0.3831866945916515,0.0,52,5.70506,12.6409,22.5234,139.954,90.7044,77.1967,71.5347,67.2307,64.466,61.9242,59.5798,57.4106,54.6328,51.779,47.1832,40.0209,31.0116,22.7468,11.2188
99948,0.215498,-0.0129312,0.00227703,0.00848454,0.333444,0.0,5235.99,1,0.45,0.0,-0.12970115973533358,175,SHALLOW,61.952,4,90.7655,-4,0.38302709872958257,0.0,53,5.70452,12.637,22.5049,140.101,90.7655,77.2404,71.5721,67.2634,64.4961,61.952,59.6053,57.4343,54.6541,51.7982,47.1988,40.033,31.02,22.752,11.2199
99947,0.534575,-0.0155372,0.00481642,0.00851935,0.333424,0.0,5235.99,1,0.45,0.0,-0.12959664762904646,175,SHALLOW,61.9399,4,90.7409,-4,0.3830941704537205,0.0,54,5.70489,12.6388,22.5138,140.044,90.7409,77.2222,71.5564,67.2494,64.4831,61.9399,59.5941,57.4237,54.6445,51.7894,47.1915,40.0271,31.0159,22.7495,11.2193
99946,0.921357,-0.039312,0.0116336,0.00843685,0.333387,0.0,5235.99,1,0.45,0.0,-0.129593234734468,175,SHALLOW,61.9582,4,90.7837,-4,0.3829860173502722,0.0,55,5.70473,12.6365,22.5028,140.154,90.7837,77.2522,71.5814,67.2715,64.5031,61.9582,59.6106,57.4389,54.6581,51.8014,47.2008,40.0341,31.0209,22.7525,11.2199
99945,1.31582,-0.0446474,0.0206145,0.00850886,0.333339,0.0,5235.99,1,0.45,0.0,-0.12951254171742435,175,SHALLOW,61.9305,4,90.7288,-4,0.38313786286751367,0.0,56,5.70556,12.6406,22.5232,140.031,90.7288,77.2114,71.5458,67.2395,64.4735,61.9305,59.5847,57.4147,54.6359,51.7811,47.1838,40.0206,31.0114,22.747,11.2187
99944,1.70646,-0.0563779,0.0292015,0.00851267,0.333281,0.0,5235.99,1,0.45,0.0,-0.12943805929888957,175,SHALLOW,61.9197,4,90.7125,-4,0.3831909401088929,0.0,57,5.70608,12.6423,22.5327,140.004,90.7125,77.1976,71.5334,67.2275,64.4622,61.9197,59.5745,57.4049,54.6264,51.7723,47.1757,40.014,31.0069,22.7443,11.2182
99943,2.10426,-0.056323,0.0358507,0.00863522,0.333213,0.0,5235.99,1,0.45,0.0,-0.12924545415566313,175,SHALLOW,61.8734,4,90.6201,-4,0.3834455097640654,0.0,58,5.70738,12.6489,22.5668,139.797,90.6201,77.1287,71.4732,67.1739,64.4122,61.8734,59.5313,57.3644,54.5893,51.7382,47.1469,39.9914,30.9911,22.735,11.2162
99942,2.46016,-0.0598749,0.0395079,0.00867146,0.333136,0.0,5235.99,1,0.45,0.0,-0.12904432155532547,175,SHALLOW,61.8489,4,90.5772,-4,0.38357302424682393,0.0,59,5.70824,12.6525,22.5862,139.713,90.5772,77.0951,71.4431,67.1467,64.3866,61.8489,59.5083,57.3425,54.5689,51.7194,47.1302,39.9779,30.9818,22.7297,11.2152
99941,2.87743,-0.0521219,0.0398784,0.00894993,0.333071,0.0,5235.99,1,0.45,0.0,-0.12858728602007047,175,SHALLOW,61.7551,4,90.3849,-4,0.38409488769509986,0.0,60,5.71041,12.6655,22.6536,139.273,90.3849,76.9532,71.3201,67.0371,64.2853,61.7551,59.4209,57.2607,54.4946,51.6523,47.0736,39.934,30.9511,22.7116,11.2116
99940,3.23443,-0.0709316,0.0400563,0.00911158,0.332978,0.0,5235.99,1,0.45,0.0,-0.12803877255151214,175,SHALLOW,61.6912,4,90.2598,-4,0.3844433180399274,0.0,61,5.71215,12.6745,22.7017,138.998,90.2598,76.8594,71.2378,66.9634,64.2167,61.6912,59.361,57.2048,54.4432,51.6052,47.0334,39.9026,30.9292,22.6987,11.209
99939,3.7113,-0.0766936,0.0420836,0.0093972,0.332872,0.0,5235.99,1,0.45,0.0,-0.12728641113749284,175,SHALLOW,61.5886,4,90.0536,-4,0.3850091718330308,0.0,62,5.71472,12.689,22.7782,138.535,90.0536,76.706,71.1044,66.8441,64.1066,61.5886,59.2652,57.1152,54.3611,51.5306,46.9705,39.8531,30.8948,22.6785,11.205
99938,4.07537,-0.0911796,0.0461043,0.00965613,0.332764,0.0,5235.99,1,0.45,0.0,-0.1263942692465892,175,SHALLOW,61.4933,4,89.8639,-4,0.38553257045372047,0.0,63,5.71716,12.7026,22.8508,138.113,89.8639,76.5643,70.9812,66.7338,64.004,61.4933,59.1764,57.0317,54.2849,51.4612,46.9114,39.8069,30.8627,22.6596,11.2012
99937,4.50693,-0.0940397,0.0516954,0.00992697,0.332639,0.0,5235.99,1,0.45,0.0,-0.12537393909542838,175,SHALLOW,61.3923,4,89.6643,-4,0.38608553872958257,0.0,64,5.71981,12.7171,22.929,137.671,89.6643,76.4154,70.8509,66.6171,63.8956,61.3923,59.082,56.9436,54.2038,51.3877,46.8487,39.7577,30.8285,22.6395,11.1972
99936,4.94058,-0.0990561,0.0581079,0.0102856,0.332508,0.0,5235.99,1,0.45,0.0,-0.12415750103415454,175,SHALLOW,61.2653,4,89.41,-4,0.3867848366606171,0.0,65,5.72302,12.7354,23.0282,137.102,89.41,76.2256,70.6862,66.4697,63.7589,61.2653,58.9636,56.8326,54.1023,51.2954,46.7706,39.6966,30.7858,22.6144,11.1922
99935,5.33033,-0.104225,0.0649194,0.0106541,0.332366,0.0,5235.99,1,0.45,0.0,-0.12276924371839973,175,SHALLOW,61.1337,4,89.1475,-4,0.38750825045372056,0.0,0,5.7264,12.7546,23.1331,136.52,89.1475,76.0301,70.5155,66.3172,63.6177,61.1337,58.8408,56.7177,53.9971,51.1998,46.6894,39.633,30.7415,22.5883,11.1869
99934,5.6654,-0.110384,0.0720173,0.0110595,0.332212,0.0,5235.99,1,0.45,0.0,-0.12120113155721791,175,SHALLOW,60.99,4,88.8614,-4,0.38829753597096184,0.0,0,5.73009,12.7757,23.25,135.886,88.8614,75.8165,70.3294,66.1506,63.4633,60.99,58.7067,56.5923,53.8822,51.0954,46.6008,39.5634,30.693,22.5598,11.1812
99933,6.00795,-0.114194,0.0786288,0.0114786,0.332046,0.0,5235.99,1,0.45,0.0,-0.11947050208355804,175,SHALLOW,60.8409,4,88.5653,-4,0.3891155801088929,0.0,0,5.73397,12.7978,23.3745,135.232,88.5653,75.5953,70.1363,65.9782,63.3032,60.8409,58.5673,56.4618,53.7628,50.9866,46.5086,39.491,30.6425,22.53,11.1752
